ticket_id,zone,date,category,priority,resolution_time_minutes,escalated
T1001,Whitefield,2026-01-01,Rider No Show,High,85,Yes
T1002,Whitefield,2026-01-01,Rider Shortage,Medium,45,No
T1003,Whitefield,2026-01-01,Rider Shortage,Low,78,No
T1004,Whitefield,2026-01-01,Rider No Show,High,39,Yes
T1005,Whitefield,2026-01-01,Payment Issue,Critical,52,Yes
T1006,Whitefield,2026-01-01,Rider Shortage,Medium,28,No
T1007,Whitefield,2026-01-01,Rider No Show,Low,22,No
T1008,Whitefield,2026-01-02,Delivery Delay,Critical,68,Yes
T1009,Whitefield,2026-01-02,Payment Issue,Low,16,No
T1010,Whitefield,2026-01-02,Rider No Show,Low,70,No
T1011,Whitefield,2026-01-02,App Issue,Medium,75,No
T1012,Whitefield,2026-01-03,App Issue,High,36,Yes
T1013,Whitefield,2026-01-03,Payment Issue,High,49,Yes
T1014,Whitefield,2026-01-03,App Issue,Critical,30,Yes
T1015,Whitefield,2026-01-03,Rider Shortage,Critical,64,Yes
T1016,Whitefield,2026-01-03,App Issue,Medium,57,No
T1017,Whitefield,2026-01-03,App Issue,Critical,31,Yes
T1018,Whitefield,2026-01-04,App Issue,Medium,16,No
T1019,Whitefield,2026-01-04,Rider Shortage,High,18,Yes
T1020,Whitefield,2026-01-04,App Issue,High,53,Yes
T1021,Whitefield,2026-01-05,App Issue,Medium,20,No
T1022,Whitefield,2026-01-05,Payment Issue,High,83,Yes
T1023,Whitefield,2026-01-05,Rider No Show,Critical,83,Yes
T1024,Whitefield,2026-01-06,App Issue,Low,78,No
T1025,Whitefield,2026-01-06,Rider Shortage,High,30,Yes
T1026,Whitefield,2026-01-06,Payment Issue,Low,65,No
T1027,Whitefield,2026-01-06,Rider Shortage,High,51,Yes
T1028,Whitefield,2026-01-06,Rider Shortage,High,87,Yes
T1029,Whitefield,2026-01-07,Delivery Delay,Critical,56,Yes
T1030,Whitefield,2026-01-07,Payment Issue,Low,71,No
T1031,Whitefield,2026-01-07,Rider No Show,Medium,80,No
T1032,Whitefield,2026-01-07,Delivery Delay,Low,23,No
T1033,Whitefield,2026-01-07,App Issue,Low,78,No
T1034,Whitefield,2026-01-07,App Issue,Low,36,No
T1035,Whitefield,2026-01-08,Rider No Show,High,69,Yes
T1036,Whitefield,2026-01-08,Delivery Delay,Critical,43,Yes
T1037,Whitefield,2026-01-08,Rider No Show,Low,52,No
T1038,Whitefield,2026-01-09,Rider No Show,Medium,32,No
T1039,Whitefield,2026-01-09,Payment Issue,Critical,85,Yes
T1040,Whitefield,2026-01-09,Rider No Show,High,79,Yes
T1041,Whitefield,2026-01-09,Rider Shortage,Critical,15,Yes
T1042,Whitefield,2026-01-10,Payment Issue,Low,18,No
T1043,Whitefield,2026-01-10,Rider Shortage,Medium,41,No
T1044,Whitefield,2026-01-10,App Issue,Critical,57,Yes
T1045,Whitefield,2026-01-10,App Issue,High,73,Yes
T1046,Whitefield,2026-01-10,Rider Shortage,Critical,46,Yes
T1047,Whitefield,2026-01-11,Rider No Show,Low,42,No
T1048,Whitefield,2026-01-11,App Issue,Medium,69,No
T1049,Whitefield,2026-01-12,Rider Shortage,Low,74,No
